*** All items[all][total]
*** All Unique items[unique][u][all]

**Normal Uniques[u][newrow][unique]

*Helms
Biggin's Bonnet,Cap (TC 3)
Ume's Lament,Grim Wand (TC 27)


**Exceptional Uniques[u][newcol][unique]

*Helms
Peasant Crown,War Hat (TC 36)
Rockstopper,Sallet (TC 39)
Stealskull,Casque (TC 42)
Darksight Helm,Basinet (TC 45)
Blackhorn's Face,Death Mask (TC 48)
Valkyrie Wing,Winged Helm (TC 51)
Vampire Gaze,Grim Helm (TC 51)
Crown of Thieves,Grand Crown (TC 57)

*Armor
The Spirit Shroud,Ghost Armor (TC 36)
Skin of the Vipermagi,Serpentskin Armor (TC 36)
Skin of the Flayed One,Demonhide Armor (TC 39)
Iron Pelt,Trellised Armor (TC 42)
Spirit Forge,Linked Mail (TC 42)
Crow Caw,Tigulated Mail (TC 45)
Shaftstop,Mesh Armor (TC 45)
Duriel's Shell,Cuirass (TC 48)
Skullder's Ire,Russet Armor (TC 51)
Guardian Angel,Templar Coat (TC 54)
Toothrow,Sharktooth Armor (TC 57)
Atma's Wail,Embossed Plate (TC 60)
Que-Hegan's Wisdom,Mage Plate (TC 60)
Black Hades,Chaos Armor (TC 63)
Corpsemourn,Ornate Plate (TC 66)

*Shields
Visceratuant,Defender (TC 36)
Moser's Blessed Circle,Round Shield (TC 39)
Stormchaser,Scutum (TC 42)
Lance Guard,Barbed Shield (TC 42)
Tiamat's Rebuke,Dragon Shield (TC 45)
Lidless Wall,Grim Shield (TC 48)
Gerke's Sanctuary,Pavise (TC 51)
Radament's Sphere,Ancient Shield (TC 57)

*Gloves
Venom Grip,Demonhide Gloves (TC 33)
Gravepalm,Sharkskin Gloves (TC 39)
Ghoulhide,Heavy Bracers (TC 45)
Lava Gout,Battle Gauntlets (TC 51)
Hellmouth,War Gauntlets (TC 54)

*Boots
Infernostride,Demonhide Boots (TC 36)
Waterwalk,Sharkskin Boots (TC 39)
Silkweave,Mesh Boots (TC 45)
War Traveler,Battle Boots (TC 51)
Gore Rider,War Boots (TC 54)

*Belts
String of Ears,Demonhide Sash (TC 36)
Razortail,Sharkskin Belt (TC 39)
Gloom's Trap,Mesh Belt (TC 45)
Snowclash,Battle Belt (TC 51)
Thundergod's Vigor,War Belt (TC 54)

*Axes
Coldkill,Hatchet (TC 33)
Islestrike,Twin Axe (TC 39)
Pompeii's Wrath,Crowbill (TC 45)
Guardian Naga,Naga (TC 48)
Warlord's Trust,Military Axe (TC 36)
Spellsteel,Bearded Axe (TC 39)
Stormrider,Tabar (TC 42)
Boneslayer Blade,Gothic Axe (TC 48)
The Minotaur,Ancient Axe (TC 51)

*Daggers
Spineripper,Poignard (TC 33)
Heart Carver,Rondel (TC 36)
Blackbog's Sharp,Cinquedeas (TC 42)
Stormspike,Stiletto (TC 48)

*Maces
Dark Clan Crusher,Cudgel (TC 30)
Fleshrender,Barbed Club (TC 33)
Sureshrill Frost,Flanged Mace (TC 36)
Moonfall,Jagged Star (TC 39)
Baezil's Vortex,Knout (TC 45)
Earthshaker,Battle Hammer (TC 48)
Bloodtree Stump,War Club (TC 45)

*Polearms
The Meat Scraper,Lochaber Axe (TC 33)
Pierre Tombale Couant,Partizan (TC 36)
Blackleach Blade,Bill (TC 39)
Athena's Wrath,Battle Scythe (TC 42)
Husoldal Evo,Bec-De-Corbin (TC 51)
Grim's Burning Dead,Grim Scythe (TC 57)

*Scepters
Zakarum's Hand,Rune Scepter (TC 33)
The Fetid Sprinkler,Holy Water Sprinkler (TC 42)
Hand of Blessed Light,Divine Scepter (TC 45)

*Spears
The Impaler,War Spear (TC 33)
Kelpie Snare,Fuscina (TC 36)
Soulfeast Tine,War Fork (TC 42)
Hone Sundan,Yari (TC 45)
Spire of Honor,Lance (TC 48)

*Staves
Razorswitch,Jo Staff (TC 30)
Ribcracker,Quarterstaff (TC 36)
Chromatic Ire,Cedar Staff (TC 39)
Warpspear,Gothic Staff (TC 42)
Skull Collector,Rune Staff (TC 48)

*Swords
Bloodletter,Gladius (TC 30)
Hexfire,Shamshir (TC 36)
Blade of Ali Baba,Tulwar (TC 39)
Ginther's Rift,Dimensional Blade (TC 39)
Headstriker,Battle Sword (TC 42)
Plague Bearer,Rune Sword (TC 45)
Coldsteel Eye,Cutlass (TC 45)
The Atlantean,Ancient Sword (TC 51)
Crainte Vomir,Espandon (TC 39)
Bing Sz Wang,Dacian Falx (TC 42)
The Vile Husk,Tusk Sword (TC 45)
Cloudcrack,Gothic Sword (TC 48)
Todesfaelle Flamme,Zweihander (TC 51)
Swordguard,Executioner Sword (TC 54)

*Wands
Suicide Branch,Burnt Wand (TC 33)
Carin Shard,Petrified Wand (TC 39)
Arm of King Leoric,Tomb Wand (TC 45)
Blackhand Key,Grave Wand (TC 51)

*Throwing
Deathbit,Battle Dart (TC 33)
The Scalper,Francisca (TC 36)


**Elite Uniques[u][newcol][unique]

*Helms
Harlequin Crest,Shako  (TC 60)
Steel Shade,Armet (TC 69)
Kira's Guardian,Tiara (TC 72) 
Andariel's Visage,Demonhead (TC 75) 
Veil of Steel,Spired Helm (TC 81) 
Nightwing's Veil,Spired Helm (TC 81) 
Giant Skull,Bone Visage (TC 84) 
Griffon's Eye,Diadem (TC 87) 

*Armor
Ormus' Robes,Dusk Shroud (TC 66) 
The Gladiator's Bane,Wire Fleece (TC 72) 
Arkaine's Valor,Balrog Skin (TC 78) 
Steel Carapace,Shadow Plate (TC 84) 
Templar's Might,Sacred Armor (TC 87) 

*Shields
Blackoak Shield,Luna (TC 63) 
Spike Thorn,Blade Barrier (TC 69) 
Head Hunter's Glory,Troll Nest (TC 78) 
Medusa's Gaze,Aegis (TC 81) 
Spirit Ward,Ward (TC 84) 

*Gloves
Dracul's Grasp,Vampirebone Gloves (TC 63) 
Soul Drainer,Vambraces (TC 69)
Steelrend,Ogre Gauntlets (TC 87) 

*Boots
Sandstorm Trek,Scarabshell Boots (TC 66) 
Marrowwalk,Boneweave Boots (TC 72) 
Shadow Dancer,Myrmidon Greaves (TC 87) 

*Belts
Arachnid Mesh,Spiderweb Sash (TC 63)
Nosferatu's Coil,Vampirefang Belt (TC 69) 
Verdungo's Hearty Cord,Mithril Coil (TC 75) 

*Axes
Razor's Edge,Tomahawk (TC 54) 
Rune Master,Ettin Axe (TC 72) 
Cranebeak,War Spike (TC 81) 
Hellslayer,Decapitator (TC 75) 
Messerschmidt's Reaver,Champion Axe (TC 84)
Death Cleaver,Berserker Axe (TC 87) 
Executioner's Justice,Glorious Axe (TC 87) 

*Daggers
Fleshripper,Fanged Knife (TC 84) 

*Javelins
Demon's Arch,Balrog Spear (TC 72) 
Gargoyle's Bite,Winged Harpoon (TC 87) 

*Maces
Nord's Tenderizer,Truncheon (TC 54) 
Demon Limb,Tyrant Club (TC 57) 
Baranar's Star,Devil Star (TC 72) 
Horizon's Tornado,Scourge (TC 78) 
Stormlash,Scourge (TC 78) 
Windhammer,Ogre Maul (TC 69) 
Stone Crusher,Legendary Mallet (TC 84) 
Earth Shifter,Thunder Maul (TC 87) 

*Polearms
Bonehew,Ogre Axe (TC 60) 
The Reaper's Toll,Thresher (TC 72) 
Tomb Reaver,Cryptic Axe (TC 81) 

*Scepters
Heaven's Light,Mighty Scepter (TC 63) 
The Redeemer,Mighty Scepter (TC 63)
Astreon's Iron Ward,Caduceus (TC 87) 

*Spears
Arioc's Needle,Hyperion Spear (TC 60) 
Viperfork,Mancatcher (TC 75)

*Staves
Ondal's Wisdom,Elder Staff (TC 75) 
Mang Song's Lesson,Archon Staff (TC 87) 

*Swords
Djinn Slayer,Ataghan (TC 63) 
Bloodmoon,Elegant Blade (TC 63) 
Frostwind,Cryptic Sword (TC 84) 
Flamebellow,Balrog Blade (TC 72) 

*Throwing
Gimmershred,Flying Axe (TC 57) 
Warshrike,Winged Knife (TC 78) 
Lacerator,Winged Axe (TC 81) 

*Wands
Boneshade,Lich Wand (TC 75)
Death's Web,Unearthed Wand (TC 87) 

**Always Ethereal[u][newcol][unique]

*Always Ethereal
Shadow Killer,Battle Cestus (TC 75) 
Wraith Flight,Ghost Glaive (TC 81) 
Ghostflame,Legend Spike (TC 87) 
Ethereal Edge,Silver-Edged Axe (TC 66) 

**Class-Specific Items[u][newcol][unique]

*Weapons
Titan's Revenge,Ceremonial Javelin (TC 36)
Lycander's Flank,Ceremonial Pike (TC 51)
Stoneraven,Matriarchal Spear (TC 63)
Thunderstroke,Matriarchal Javelin (TC 66)
Bartuc's Cut-Throat,Greater Talons (TC 51)
Jade Talon,Wrist Sword (TC 63)
Firelizard's Talons,Feral Claws (TC 78)
The Oculus,Swirling Crystal (TC 51)
Eschuta's Temper,Eldritch Orb (TC 69)
Death's Fathom,Dimensional Shard (TC 87)

*Armor
Arreat's Face,Slayer Guard (TC 54)
Wolfhowl,Fury Visor (TC 66)
Demonhorn's Edge,Destroyer Helm (TC 75)
Halaberd's Reign,Conqueror Crown (TC 81)
Jalal's Mane,Totemic Mask (TC 57)
Cerebus' Bite,Blood Spirit (TC 63)
Spirit Keeper,Earth Spirit (TC 78) 
Ravenlore, Sky Spirit (TC 84)
Homunculus,Hierophant Trophy (TC 54)
Boneflame,Succubus Skull (TC 81)
Darkforce Spawn, Bloodlord Skull (TC 87) 
Herald of Zakarum, Gilded Shield (TC 51)
Alma Negra,Sacred Rondache (TC 72)
Dragonscale,Zakarum Shield (TC 84)
